OBJECTID,CNTY_NM,CNTY_NBR,FIPS,DIST_NM,DIST_NBR,CREATE_USE,CREATE_DT,EDIT_NM,EDIT_DT,CMNT,SHAPE_area,SHAPE_len
211,Fannin,75,"48,147",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"2,323,581,124.792028400000000","231,792.247288373710000"
212,Cooke,49,"48,097",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"2,313,777,651.612786300000000","292,750.643928657110000"
213,Grayson,92,"48,181",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"2,530,057,123.242455000000000","242,180.884666902250000"
214,Montague,169,"48,337",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"2,417,923,453.459032100000000","214,535.191304604320000"
215,Lamar,139,"48,277",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"2,413,603,956.614290200000000","279,587.728880017530000"
216,Red River,194,"48,387",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"2,732,795,860.547088600000000","363,518.306966616360000"
217,Clay,39,"48,077",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"2,869,916,419.247687800000000","245,807.431806239500000"
218,Wichita,243,"48,485",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"1,598,917,896.461430800000000","184,636.759696828110000"
219,Foard,79,"48,155",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"1,821,153,751.894275700000000","235,291.305521849310000"
220,Cottle,51,"48,101",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,330,472,356.490408900000000","204,776.775674620700000"
221,Motley,173,"48,345",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,559,314,125.723167400000000","202,591.544309470450000"
222,Floyd,78,"48,153",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,566,639,329.731887800000000","202,964.417977337580000"
223,Hale,96,"48,189",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,597,727,193.506463500000000","204,203.966803304090000"
224,Lamb,140,"48,279",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,631,737,298.124568900000000","205,497.834902460480000"
225,Bailey,9,"48,017",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,139,741,926.513922000000000","187,500.877220438500000"
226,Wilbarger,244,"48,487",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"2,526,996,474.486531700000000","256,526.646411438530000"
227,Hardeman,100,"48,197",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"1,801,714,111.817127900000000","194,133.291951049580000"
228,Childress,38,"48,075",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"1,847,196,535.132437000000000","173,430.665533136690000"
229,Hall,97,"48,191",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,340,076,131.238269800000000","193,480.123266966340000"
230,Briscoe,23,"48,045",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,334,984,966.469306000000000","193,214.199266966140000"
231,Swisher,219,"48,437",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,334,044,919.483981100000000","193,267.828651142660000"
232,Castro,35,"48,069",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,327,290,900.435602200000000","193,166.446844169060000"
233,Parmer,185,"48,369",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,290,751,289.001100500000000","191,436.565198597610000"
234,Collingsworth,44,"48,087",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,381,094,062.205157800000000","195,140.292280783380000"
235,Donley,65,"48,129",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,416,896,595.304861500000000","196,638.911693566710000"
236,Armstrong,6,"48,011",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,362,090,448.891060400000000","194,740.491384728460000"
237,Randall,191,"48,381",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,389,448,681.363461000000000","195,847.365579714880000"
238,Deaf Smith,59,"48,117",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"3,879,618,585.125556900000000","256,604.255177656510000"
239,Wheeler,242,"48,483",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,372,962,618.025259000000000","194,924.154980229590000"
240,Gray,91,"48,179",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,411,450,964.259962100000000","196,517.712162180190000"
241,Carson,33,"48,065",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,396,645,369.778266000000000","195,721.940213607890000"
242,Potter,188,"48,375",Amarillo,4,TPP,1/5/2015 9:24:38 AM,,,,"2,390,639,582.279552900000000","195,640.809415510220000"
